arquivo,tamanho_bytes,encoding_detectado,separador,decimal,quotechar,possui_cabecalho,numero_linhas,numero_colunas,colunas,cursos_distintos_amostra,registros_ufpa_amostra,duplicatas_exatas_amostra
microdados2025_arq1.txt,13312075,ascii,;,",","""",True,293082,10,NU_ANO|CO_CURSO|CO_IES|CO_CATEGAD|CO_ORGACAD|CO_GRUPO|CO_MODALIDADE|CO_MUNIC_CURSO|CO_UF_CURSO|CO_REGIAO_CURSO,289,0.0,9711
microdados2025_arq2.txt,7361853,ascii,;,",","""",True,293082,5,NU_ANO|CO_CURSO|ANO_FIM_EM|ANO_IN_GRAD|CO_TURNO_GRADUACAO,1602,,3657
microdados2025_arq3.txt,93756019,ascii,;,",","""",True,293082,23,NU_ANO|CO_CURSO|CO_CADERNO|IN_REAPLICACAO|DS_VT_GAB_OBJ|DS_VT_ESC_OBJ|DS_VT_ACE_OBJ|TP_PRES|TP_SIT_DISC|PROFICIENCIA|NT_OBJ|NT_DIS|NT_GER|QT_ACERTOS|CO_RS_I1|CO_RS_I2|CO_RS_I3|CO_RS_I4|CO_RS_I5|CO_RS_I6|CO_RS_I7|CO_RS_I8|CO_RS_I9,1467,,1
microdados2025_arq4.txt,31394979,ascii,;,",","""",True,293082,49,NU_ANO|CO_CURSO|QE_I20|QE_I21|QE_I22|QE_I23|QE_I24|QE_I25|QE_I26|QE_I27|QE_I28|QE_I29|QE_I30|QE_I31|QE_I32|QE_I33|QE_I34|QE_I35|QE_I36|QE_I37|QE_I38|QE_I39|QE_I40|QE_I41|QE_I42|QE_I43|QE_I44|QE_I45|QE_I46|QE_I47|QE_I48|QE_I49|QE_I50|QE_I51|QE_I52|QE_I53|QE_I54|QE_I55|QE_I56|QE_I57|QE_I58|QE_I59|QE_I60|QE_I61|QE_I62|QE_I63|QE_I64|QE_I65|QE_I66,2052,,187
microdados2025_arq5.txt,5017186,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|TP_SEXO,577,,9418
microdados2025_arq6.txt,4724104,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|NU_IDADE,2308,,7219
microdados2025_arq7.txt,5014095,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I01,609,,9391
microdados2025_arq8.txt,5014085,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I02,609,,9391
microdados2025_arq9.txt,5014091,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I03,609,,9391
microdados2025_arq10.txt,5020849,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I04,609,,9391
microdados2025_arq11.txt,5014081,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I05,609,,9391
microdados2025_arq12.txt,5014089,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I06,609,,9391
microdados2025_arq13.txt,5014099,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I07,609,,9391
microdados2025_arq14.txt,5014093,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I08,609,,9391
microdados2025_arq15.txt,5014093,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I09,609,,9391
microdados2025_arq16.txt,5014087,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I10,609,,9391
microdados2025_arq17.txt,5014093,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I11,609,,9391
microdados2025_arq18.txt,5014095,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I12,609,,9391
microdados2025_arq19.txt,5014095,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I13,609,,9391
microdados2025_arq20.txt,5014099,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I14,609,,9391
microdados2025_arq21.txt,5014083,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I15,609,,9391
microdados2025_arq22.txt,5063147,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I16,609,,9391
microdados2025_arq23.txt,5014085,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I17,609,,9391
microdados2025_arq24.txt,5014085,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I18,609,,9391
microdados2025_arq25.txt,5014087,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I19,609,,9391
microdados2025_arq26.txt,4557902,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I68,2329,,5601
microdados2025_arq27.txt,4554591,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I69,1851,,6775
microdados2025_arq28.txt,5014321,ascii,;,",","""",True,293082,3,NU_ANO|CO_CURSO|QE_I70,609,,9391
