CO_CURSO,CO_TURNO_GRADUACAO,n
26,2,12
26,3,1
34,2,3
34,4,4
161,4,30
297,2,46
297,4,29
379,1,36
379,4,32
624,3,8
637,4,17
696,3,12
696,4,5
768,4,17
860,4,9
965,4,42
1035,4,16
1112,4,4
1428,3,9
1637,4,7
1717,4,8
1907,4,1
2711,4,41
2921,1,27
2921,4,56
3145,3,19
3163,1,10
3163,4,10
3179,3,18
3179,4,16
3217,4,34
3407,4,20
3571,2,29
3571,4,1
5965,4,15
6754,4,3
7081,4,12
8908,4,2
9954,3,12
10508,4,11
10811,4,5
11163,4,7
11305,1,16
11305,4,11
11328,4,14
11439,2,30
11540,2,17
11591,3,24
11591,4,28
11999,1,47
11999,2,21
12033,1,12
12033,2,10
12033,3,5
12033,4,22
12035,1,15
12035,2,23
12035,3,30
12037,1,18
12037,2,3
12037,4,10
12044,1,16
12044,3,25
12044,4,4
12074,1,12
12074,3,58
12074,4,16
12354,3,20
12553,2,12
12553,4,18
12702,1,35
12702,3,1
12702,4,30
12713,4,24
12806,3,17
12918,3,30
12969,1,38
12969,4,26
13102,3,14
13276,3,7
13276,4,25
13402,3,32
13402,4,34
13448,3,11
13448,4,6
13619,4,27
13741,3,18
13741,4,15
13873,3,13
14121,4,13
14233,1,34
14328,2,1
14328,3,34
14328,4,59
14505,2,30
14505,4,23
14542,4,11
14700,4,17
15000,3,8
15413,3,48
15629,4,7
15833,4,15
15862,3,10
15865,4,6
15868,1,10
15868,4,4
16009,1,39
16010,4,10
16268,4,32
16272,4,9
16403,4,13
17154,1,10
17154,4,9
17196,1,17
17196,2,22
18354,4,1
18382,2,9
18877,4,9
18892,1,6
18892,4,10
18954,2,6
18959,4,6
18961,4,22
19026,4,1
19060,4,49
19077,2,8
19077,4,13
19191,4,4
19367,4,2
19396,1,9
20315,4,11
20392,1,24
20392,4,19
20578,3,10
20854,4,18
21427,3,11
21443,2,43
21578,2,6
21808,4,5
21822,4,9
21869,1,10
21876,4,10
21879,4,14
21892,4,1
27518,4,13
29447,4,16
38246,4,23
38431,4,8
38678,4,15
39715,4,4
41069,4,6
41490,4,16
43037,3,1
43037,4,25
43084,4,9
44372,3,32
45102,4,7
45701,4,7
45703,4,7
46729,4,13
47333,4,6
48289,2,31
48289,4,3
48946,4,11
49324,3,83
50439,4,3
52068,4,2
52139,4,6
52442,1,23
52442,4,17
55811,4,18
58522,1,7
58522,4,6
58526,1,6
58526,4,3
58588,1,8
58588,4,11
59272,4,27
59426,2,26
59426,4,43
59996,4,54
60290,4,7
60760,1,1
60760,2,1
60760,4,29
61024,1,3
61024,2,9
61024,4,3
61669,1,7
61669,2,5
61669,4,6
63062,1,14
63062,2,17
63062,4,1
63383,1,1
63383,2,2
63383,3,29
64604,4,11
68313,4,6
68511,4,37
70522,1,21
71037,1,3
71037,4,6
71419,4,15
74276,4,6
76212,4,2
80827,4,5
81423,2,15
81423,4,8
81660,4,9
81812,2,15
81812,4,4
82658,2,19
82658,4,20
83289,1,17
83302,1,12
83302,4,23
83312,1,5
83312,3,4
83312,4,10
83318,3,15
83318,4,7
83330,1,7
83330,3,5
83330,4,2
83929,4,22
84374,1,4
84374,2,6
85320,1,4
85320,4,18
85760,4,19
86396,3,34
88788,1,34
92391,1,6
92391,3,6
94692,3,5
95055,2,17
95221,3,5
95221,4,2
96158,4,44
96913,2,17
96955,4,3
99045,4,47
99503,1,6
99503,4,8
99806,3,22
99806,4,21
99898,3,9
99952,4,1196
100309,4,109
100369,3,8
100373,4,21
100412,3,13
100620,3,13
100690,4,51
100724,4,25
100775,4,8
100808,4,10
100916,4,10
101556,4,8
102152,2,28
102430,4,29
102576,1,2
102576,3,69
102588,1,6
102588,4,13
102944,4,7
103381,4,31
103572,4,20
104282,4,6
104814,2,18
104814,4,3
106404,3,20
107520,2,24
107520,4,27
108012,4,2
108730,4,14
108734,3,40
109356,3,27
109768,4,18
109948,3,47
111506,3,6
113030,4,18
113295,1,14
113490,1,51
113589,4,7
113907,3,81
113953,1,12
113953,4,18
114388,4,5
114556,4,13
114853,1,53
114853,2,29
114853,3,28
114853,4,25
115086,4,11
116144,4,13
116730,4,5
116820,4,3
116856,4,11
116882,4,16
117196,3,2
118100,4,58
118564,3,4
120389,4,13
120767,3,2
121013,4,26
121792,4,6
122122,1,29
122358,3,1
122746,4,19
123356,3,31
123472,3,78
123494,4,2
123519,4,13
123787,4,3
300520,1,19
300520,4,12
312333,2,2
312333,3,14
312333,4,27
1101770,4,46
1102402,1,12
1102402,4,24
1102641,4,4
1102795,4,10
1102963,4,4
1103025,4,10
1103031,4,10
1103032,4,4
1103185,4,2
1103461,2,15
1103556,4,20
1103657,4,15
1103813,4,30
1103910,4,24
1103911,4,28
1103912,4,11
1103914,4,26
1105218,1,11
1105218,4,14
1106721,4,6
1108212,2,24
1111510,3,6
1117203,4,10
1122743,4,17
1123270,1,7
1123270,2,16
1123270,4,1
1126144,3,7
1127113,4,31
1127676,4,10
1128030,4,17
1128096,4,25
1128169,1,48
1128360,4,15
1128375,1,7
1128375,4,1
1128378,1,14
1128936,4,15
1128938,4,12
1129073,1,11
1131697,4,29
1135958,4,3
1137846,3,27
1139335,3,5
1140021,2,19
1142320,4,10
1151457,4,16
1152312,4,4
1152591,2,9
1152637,4,15
1152880,3,26
1153801,4,44
1154825,3,22
1155366,4,21
1156565,4,4
1156623,4,7
1160182,3,13
1160371,4,32
1160424,4,11
1160481,4,5
1160830,3,629
1160979,1,12
1160979,2,12
1161404,4,30
1166758,3,18
1168573,4,9
1172590,3,250
1179877,4,35
1181042,1,21
1182640,3,6
1182640,4,14
1182765,4,13
1184450,1,17
1184450,2,8
1185309,3,6
1185450,4,2
1188419,2,13
1190159,4,1332
1193885,3,8
1202856,3,59
1203136,2,1
1203136,3,26
1203136,4,9
1205924,4,24
1214485,3,7
1258370,4,4
1260434,4,11
1264321,1,6
1264336,4,7
1266766,4,63
1268237,4,3
1270326,4,3
1270371,1,1
1270371,4,11
1284904,3,6
1285866,4,522
1292570,4,801
1292767,3,11
1292902,4,15
1296649,4,132
1298841,4,14
1300008,4,69
1300375,1,17
1300375,2,11
1300375,4,7
1304557,2,18
1312211,4,8
1313067,3,31
1313355,4,11
1313360,4,11
1315060,4,1388
1321332,4,20
1321334,3,4
1321678,3,4
1321678,4,1
1327336,3,12
1327524,4,14
1330050,3,132
1330203,4,1
1330366,4,2
1330369,4,3
1330372,4,5
1330384,2,9
1330384,4,8
1331356,3,1
1331356,4,13
1332695,4,18
1333201,1,17
1338287,4,3
1340989,1,16
1341230,1,12
1341347,4,13
1349112,4,14
1350689,1,5
1350689,2,2
1366967,4,17
1375344,4,32
1379285,3,101
1382647,3,10
1382815,4,4
1385337,2,2
1387235,4,10
1396228,3,18
1399848,1,13
1401623,4,525
1405215,4,30
1406007,3,3
1406064,4,1
1407205,4,1
1414995,4,9
1416142,4,10
1419680,3,15
1419827,4,10
1420449,3,4
1420637,4,20
1439555,3,35
1441230,3,13
1442119,4,24
1442126,3,4
1442906,4,22
1442928,4,6
1445889,4,3
1451120,3,62
1452609,4,7
1453816,4,9
1454028,4,1
1454137,3,5
1457027,4,10
1457037,3,3
1457167,1,1
1457167,2,21
1457267,2,3
1457267,4,1
1458143,4,3
1458481,3,4
1458668,3,11
1465529,3,9
1467890,3,2
1468161,4,4
1472818,3,13
1473015,3,9
1473185,4,1
1477654,3,32
1483407,4,9
1483490,3,22
1483500,3,1
1483500,4,15
1483518,3,3
1485453,4,3
1486952,4,14
1487060,3,18
1487353,3,7
1488240,4,7
1488974,4,18
1497052,3,3
1499549,4,8
1506116,4,15
1509485,4,3
1514192,4,1
1515609,4,19
1515616,4,18
1515618,2,5
1515618,4,4
1516669,3,1
1517196,3,8
1517293,3,59
1518083,4,5
1519071,4,4
1520538,4,1
1522008,3,30
1525884,4,8
1525963,3,1
1527381,3,8
1536334,3,146
1541484,4,21
1543037,4,2
1546260,3,2
1546969,3,2
1547032,3,1
1547054,3,1
1550087,4,365
1550199,1,4
1550498,3,6
1550509,4,5
1551083,3,2
1555830,1,32
1562928,3,8
1571245,3,6
1572855,4,1
1575689,4,13
1576008,4,10
1576347,4,1
1576448,4,5
1576702,4,1
1577419,3,8
1584375,4,1
1591417,3,5
1591581,3,9
1595470,4,1
1595646,4,16
1595781,4,3
1596704,3,2
1596704,4,1
1597098,3,1
1598572,4,5
1598970,4,2
1599021,2,4
1599021,4,25
1599390,4,1
1611291,3,37
1611292,3,10
1615079,3,5
1625069,3,28
1625081,3,13
1625089,3,19
1625094,3,14
1634832,3,7
1634842,3,3
1634877,3,2
1634891,3,11
1668061,2,2
1668061,4,2
1676716,4,15
5000138,1,5
5000138,4,4
5000487,4,12
5000493,2,11
5000912,4,4
5001337,1,28
5001337,2,4
