variavel,indicador,positivos,validos
QE_I05,primeira_geracao_pct,B,A|B
QE_I06,mae_superior_pct,E|F|G,A|B|C|D|E|F|G
QE_I07,pai_superior_pct,E|F|G,A|B|C|D|E|F|G
QE_I09,renda_ate_3sm_pct,A|B,A|B|C|D|E|F|G
QE_I10,trabalha_pct,B|C|D|E,A|B|C|D|E
QE_I10,trabalha_40h_pct,D,A|B|C|D|E
QE_I11,acao_afirmativa_pct,B|C|D|E|F,A|B|C|D|E|F
QE_I15,auxilio_permanencia_pct,B|C|D|E|F,A|B|C|D|E|F
QE_I16,bolsa_academica_pct,B|C|D|E|F|G|H,A|B|C|D|E|F|G|H
QE_I17,estudo_4h_ou_mais_pct,C|D|E,A|B|C|D|E
QE_I18,pretende_magisterio_pct,A|B,A|B|C|D
